Source,Target,Attributes
33047.0,3107.0,{'Weight': 1.0}
33048.0,6633.0,{'Weight': 1.0}
283.0,6104.0,{'Weight': 1.0}
284.0,13098.0,{'Weight': 1.0}
284.0,7294.0,{'Weight': 1.0}
284.0,1542.0,{'Weight': 1.0}
284.0,15761.0,{'Weight': 1.0}
33053.0,33054.0,{'Weight': 1.0}
286.0,542.0,{'Weight': 1.0}
286.0,11550.0,{'Weight': 1.0}
286.0,12583.0,{'Weight': 1.0}
33054.0,8685.0,{'Weight': 1.0}
33054.0,34125.0,{'Weight': 1.0}
33056.0,30750.0,{'Weight': 1.0}
33057.0,12831.0,{'Weight': 1.0}
290.0,291.0,{'Weight': 1.0}
290.0,9926.0,{'Weight': 1.0}
290.0,22272.0,{'Weight': 1.0}
292.0,1752.0,{'Weight': 1.0}
293.0,294.0,{'Weight': 1.0}
293.0,2100.0,{'Weight': 1.0}
293.0,18340.0,{'Weight': 1.0}
294.0,10094.0,{'Weight': 1.0}
294.0,12464.0,{'Weight': 1.0}
33060.0,8332.0,{'Weight': 1.0}
33060.0,27336.0,{'Weight': 1.0}
33060.0,33061.0,{'Weight': 1.0}
296.0,3151.0,{'Weight': 1.0}
297.0,298.0,{'Weight': 1.0}
297.0,11151.0,{'Weight': 1.0}
297.0,3725.0,{'Weight': 1.0}
298.0,10922.0,{'Weight': 1.0}
298.0,9002.0,{'Weight': 1.0}
299.0,300.0,{'Weight': 1.0}
299.0,2622.0,{'Weight': 1.0}
299.0,5851.0,{'Weight': 1.0}
300.0,6721.0,{'Weight': 1.0}
300.0,7534.0,{'Weight': 1.0}
33070.0,19731.0,{'Weight': 1.0}
303.0,35509.0,{'Weight': 1.0}
303.0,35147.0,{'Weight': 1.0}
303.0,14513.0,{'Weight': 1.0}
295.0,3108.0,{'Weight': 1.0}
305.0,4330.0,{'Weight': 1.0}
305.0,5488.0,{'Weight': 1.0}
305.0,3808.0,{'Weight': 1.0}
33074.0,30780.0,{'Weight': 1.0}
309.0,9926.0,{'Weight': 1.0}
33078.0,26473.0,{'Weight': 1.0}
33079.0,32196.0,{'Weight': 1.0}
33080.0,19339.0,{'Weight': 1.0}
313.0,34101.0,{'Weight': 1.0}
315.0,4748.0,{'Weight': 1.0}
315.0,12878.0,{'Weight': 1.0}
315.0,1889.0,{'Weight': 1.0}
316.0,6160.0,{'Weight': 1.0}
33085.0,29434.0,{'Weight': 1.0}
318.0,317.0,{'Weight': 1.0}
318.0,14115.0,{'Weight': 1.0}
318.0,14047.0,{'Weight': 1.0}
320.0,2922.0,{'Weight': 1.0}
320.0,3283.0,{'Weight': 1.0}
320.0,12457.0,{'Weight': 1.0}
33089.0,7468.0,{'Weight': 1.0}
33090.0,17820.0,{'Weight': 1.0}
33092.0,2028.0,{'Weight': 1.0}
33092.0,20037.0,{'Weight': 1.0}
33092.0,36732.0,{'Weight': 1.0}
326.0,7919.0,{'Weight': 1.0}
33095.0,6156.0,{'Weight': 1.0}
33094.0,21105.0,{'Weight': 1.0}
330.0,11815.0,{'Weight': 1.0}
330.0,6471.0,{'Weight': 1.0}
330.0,26703.0,{'Weight': 1.0}
330.0,34097.0,{'Weight': 1.0}
331.0,3422.0,{'Weight': 1.0}
331.0,8632.0,{'Weight': 1.0}
331.0,6654.0,{'Weight': 1.0}
332.0,4690.0,{'Weight': 1.0}
33100.0,28814.0,{'Weight': 1.0}
33100.0,29610.0,{'Weight': 1.0}
33100.0,34729.0,{'Weight': 1.0}
33101.0,32026.0,{'Weight': 1.0}
33104.0,28110.0,{'Weight': 1.0}
337.0,3092.0,{'Weight': 1.0}
33107.0,28781.0,{'Weight': 1.0}
341.0,678.0,{'Weight': 1.0}
341.0,3065.0,{'Weight': 1.0}
341.0,11412.0,{'Weight': 1.0}
33109.0,6210.0,{'Weight': 1.0}
33111.0,29931.0,{'Weight': 1.0}
348.0,5041.0,{'Weight': 1.0}
348.0,15359.0,{'Weight': 1.0}
348.0,30713.0,{'Weight': 1.0}
349.0,10426.0,{'Weight': 1.0}
33117.0,20071.0,{'Weight': 1.0}
351.0,3356.0,{'Weight': 1.0}
350.0,5467.0,{'Weight': 1.0}
350.0,11380.0,{'Weight': 1.0}
350.0,27956.0,{'Weight': 1.0}
33124.0,31751.0,{'Weight': 1.0}
33126.0,8496.0,{'Weight': 1.0}
358.0,13498.0,{'Weight': 1.0}
358.0,31139.0,{'Weight': 1.0}
358.0,33862.0,{'Weight': 1.0}
33128.0,13339.0,{'Weight': 1.0}
33131.0,19204.0,{'Weight': 1.0}
364.0,2302.0,{'Weight': 1.0}
365.0,9024.0,{'Weight': 1.0}
365.0,7523.0,{'Weight': 1.0}
365.0,7910.0,{'Weight': 1.0}
33134.0,23553.0,{'Weight': 1.0}
33135.0,30316.0,{'Weight': 1.0}
33137.0,23867.0,{'Weight': 1.0}
369.0,4985.0,{'Weight': 1.0}
369.0,3037.0,{'Weight': 1.0}
369.0,1073.0,{'Weight': 1.0}
369.0,4070.0,{'Weight': 1.0}
371.0,372.0,{'Weight': 1.0}
371.0,5358.0,{'Weight': 1.0}
371.0,30844.0,{'Weight': 1.0}
372.0,32305.0,{'Weight': 1.0}
372.0,6784.0,{'Weight': 1.0}
33141.0,16268.0,{'Weight': 1.0}
374.0,17157.0,{'Weight': 1.0}
374.0,17998.0,{'Weight': 1.0}
374.0,17269.0,{'Weight': 1.0}
373.0,30430.0,{'Weight': 1.0}
33144.0,24950.0,{'Weight': 1.0}
33145.0,33929.0,{'Weight': 1.0}
375.0,10422.0,{'Weight': 1.0}
375.0,7192.0,{'Weight': 1.0}
375.0,5363.0,{'Weight': 1.0}
376.0,15267.0,{'Weight': 1.0}
376.0,14446.0,{'Weight': 1.0}
376.0,32083.0,{'Weight': 1.0}
376.0,27723.0,{'Weight': 1.0}
33148.0,31381.0,{'Weight': 1.0}
380.0,4171.0,{'Weight': 1.0}
380.0,2144.0,{'Weight': 1.0}
380.0,16730.0,{'Weight': 1.0}
33143.0,1092.0,{'Weight': 1.0}
33151.0,10784.0,{'Weight': 1.0}
385.0,8720.0,{'Weight': 1.0}
385.0,20441.0,{'Weight': 1.0}
385.0,12542.0,{'Weight': 1.0}
33155.0,6472.0,{'Weight': 1.0}
33156.0,28413.0,{'Weight': 1.0}
389.0,21164.0,{'Weight': 1.0}
390.0,5839.0,{'Weight': 1.0}
391.0,9463.0,{'Weight': 1.0}
391.0,5162.0,{'Weight': 1.0}
391.0,10949.0,{'Weight': 1.0}
388.0,15510.0,{'Weight': 1.0}
388.0,26004.0,{'Weight': 1.0}
388.0,32396.0,{'Weight': 1.0}
33161.0,12137.0,{'Weight': 1.0}
394.0,395.0,{'Weight': 1.0}
394.0,6391.0,{'Weight': 1.0}
394.0,33667.0,{'Weight': 1.0}
395.0,9412.0,{'Weight': 1.0}
395.0,36834.0,{'Weight': 1.0}
393.0,6182.0,{'Weight': 1.0}
393.0,2613.0,{'Weight': 1.0}
393.0,36197.0,{'Weight': 1.0}
33163.0,4357.0,{'Weight': 1.0}
