node_id,community_id
15150,2
15154,2
15157,2
19258,2
17223,2
19283,2
15194,2
874,2
7040,2
5000,2
5001,2
5003,2
9143,2
9161,2
5094,2
5095,2
15344,2
5127,2
13332,2
9238,2
17439,2
11298,2
9267,2
15415,2
19513,2
7225,2
7235,2
7240,2
1101,2
1102,2
15445,2
17499,2
19547,2
9309,2
1119,2
1120,2
19559,2
13418,2
19563,2
5228,2
15488,2
15489,2
15495,2
19595,2
1168,2
1169,2
17562,2
15515,2
15516,2
9378,2
9379,2
11426,2
17624,2
17625,2
17626,2
17628,2
11490,2
9445,2
9446,2
9463,2
9464,2
15623,2
15625,2
1292,2
15634,2
9508,2
11558,2
15664,2
15665,2
15677,2
15678,2
9551,2
9552,2
1384,2
1385,2
11629,2
13689,2
17795,2
17807,2
3493,2
3494,2
13746,2
15798,2
15847,2
15848,2
15849,2
15850,2
5608,2
15857,2
15858,2
15859,2
15862,2
15863,2
17928,2
11785,2
15885,2
15886,2
9756,2
9757,2
7714,2
3631,2
17974,2
5693,2
20038,2
15944,2
20041,2
11855,2
11856,2
11857,2
5714,2
11881,2
11882,2
11890,2
9848,2
18055,2
7830,2
3745,2
3746,2
9922,2
5838,2
11995,2
11996,2
18143,2
7916,2
7917,2
18158,2
12074,2
14149,2
14161,2
10070,2
8034,2
1915,2
14205,2
18311,2
20364,2
8079,2
8080,2
18321,2
18322,2
6056,2
10153,2
4022,2
4023,2
16317,2
10196,2
10197,2
18392,2
20452,2
2035,2
2036,2
4090,2
4091,2
12290,3
16397,3
16399,3
24,3
25,3
12314,3
6171,3
14373,3
8229,3
4148,3
4149,3
8246,3
8247,3
52,3
53,3
16440,3
2111,3
2112,3
8261,3
79,3
80,3
8273,3
4185,3
14427,3
18527,3
20577,3
8291,3
8292,3
16486,3
4206,3
2158,3
2159,3
6277,3
6278,3
6281,3
12429,3
8333,3
20627,3
8344,3
4249,3
4250,3
8352,3
163,3
164,3
10413,3
6318,3
14513,3
6321,3
14515,3
178,3
177,3
193,3
194,3
8388,3
8389,3
12488,3
8403,3
8404,3
16613,3
4329,3
4330,3
237,3
238,3
2292,3
2293,3
2307,3
2308,3
10503,3
2320,3
2321,3
6427,3
6428,3
8479,3
8480,3
6432,3
290,3
291,3
2342,3
2343,3
4392,3
4393,3
16686,3
14643,3
8499,3
12595,3
8504,3
12604,3
16702,3
2371,3
2372,3
10567,3
12618,3
8525,3
16717,3
10575,3
12626,3
2390,3
2393,3
2394,3
6494,3
6495,3
10598,3
14698,3
4459,3
4460,3
12650,3
16746,3
2421,3
2422,3
16768,3
6530,3
14730,3
4492,3
10640,3
8605,3
16798,3
12701,3
10663,3
10664,3
12714,3
14769,3
16819,3
14777,3
4556,3
12753,3
16858,3
12762,3
2522,3
2531,3
8682,3
8687,3
2550,3
2551,3
16886,3
10746,3
2557,3
2558,3
4608,3
4607,3
4611,3
14856,3
2593,3
12836,3
14885,3
12838,3
18989,3
18990,3
14897,3
10801,3
2613,3
2614,3
14903,3
571,3
572,3
577,3
578,3
2626,3
2627,3
12867,3
2632,3
2633,3
14923,3
16976,3
19032,3
8793,3
8794,3
2651,3
2652,3
8797,3
4702,3
8798,3
4703,3
8799,3
