source,target,distance_ft,edge_type
P_399,T_13648,13.368528623779358,power_to_transport
P_400,T_177,147.39381281526104,power_to_transport
P_33169,T_4337,19.30852498914109,power_to_transport
P_33165,T_10320,157.19212448179587,power_to_transport
P_33171,T_5512,43.463515742227806,power_to_transport
P_33172,T_7212,77.22783777431331,power_to_transport
P_405,T_8,19.042773838354943,power_to_transport
P_406,T_12589,13.001454447076094,power_to_transport
P_407,T_8664,271.9054218547639,power_to_transport
P_408,T_10631,26.411562775047503,power_to_transport
P_33177,T_5834,98.32421444437837,power_to_transport
P_33178,T_6253,29.62367843002783,power_to_transport
P_411,T_1660,31.25396824724264,power_to_transport
P_33176,T_11889,69.83747558852893,power_to_transport
P_33175,T_8618,284.05527231074217,power_to_transport
P_33181,T_7491,141.2167279607263,power_to_transport
P_415,T_5488,145.1493554259098,power_to_transport
P_33183,T_17722,35.750704903792276,power_to_transport
P_417,T_9856,125.24313900555879,power_to_transport
P_33186,T_16924,197.65845180807477,power_to_transport
P_414,T_3727,31.682959300756426,power_to_transport
P_422,T_7523,125.8205167054487,power_to_transport
P_424,T_18544,80.38120347805635,power_to_transport
P_425,T_6703,131.50890381174347,power_to_transport
P_426,T_6774,151.8473899181651,power_to_transport
P_427,T_6774,147.81181012383774,power_to_transport
P_428,T_16590,47.58475256326858,power_to_transport
P_429,T_13224,86.42842948491977,power_to_transport
P_430,T_15127,5.247826343565537,power_to_transport
P_33199,T_12313,150.62765999836265,power_to_transport
P_432,T_16421,129.61033335357885,power_to_transport
P_433,T_354,23.600577650460984,power_to_transport
P_33202,T_9915,135.3316578819619,power_to_transport
P_435,T_13079,21.376313624777364,power_to_transport
P_436,T_13079,127.1654474403306,power_to_transport
P_437,T_1009,21.476860606769502,power_to_transport
P_439,T_20448,30.543274287330203,power_to_transport
P_33208,T_19934,368.5238315361111,power_to_transport
P_33207,T_21129,248.99538696123057,power_to_transport
P_442,T_3359,126.7588400294489,power_to_transport
P_33209,T_17751,56.962838965682074,power_to_transport
P_447,T_10557,22.672530750350678,power_to_transport
P_449,T_14923,34.65476146770289,power_to_transport
P_451,T_6607,20.034991663960817,power_to_transport
P_33220,T_17087,182.6151722867746,power_to_transport
P_453,T_14723,27.90408822764235,power_to_transport
P_33222,T_14161,131.25750614820575,power_to_transport
P_455,T_4710,173.7064878143349,power_to_transport
P_454,T_11797,19.111570758440646,power_to_transport
