node_id,longitude,latitude
2010,1285585.52883323,177007.859369293
2018,1253964.49820884,245947.981295899
2022,1271299.2164986,261098.41951941
2025,1272016.64453132,265565.10777998
2031,1281875.71634942,221916.375831291
2033,1273013.40306035,218739.330708027
2053,1276438.21739985,218127.247955412
2056,1281193.32466872,280941.846675724
2062,1278015.37170547,221035.307734385
2064,1260063.70551109,235376.420773074
2069,1266876.88542207,235252.983716935
2073,1264228.25821935,264247.365314633
2078,1270956.92254624,199366.0751362
2088,1265869.78641303,169355.626977459
2089,1265537.73790069,169368.127265483
2092,1258120.09424509,286757.603801683
2093,1258122.2520691,287142.648922071
2105,1258775.19824576,205845.222598836
2117,1270241.8144495,200198.863809049
2118,1269190.42577644,277409.027024105
2123,1277788.78520924,173791.925478011
2139,1286208.79430586,196460.104253218
2145,1280831.89100435,263912.109442294
2158,1271577.55915488,256112.460346296
2160,1262168.96247324,209097.781706154
2165,1260084.57130311,169192.553825289
2172,1265515.46590067,191764.35743241
2176,1267120.78193432,280092.800146863
2177,1273763.30603711,196780.499581546
2184,1279536.31385103,208013.054217055
2190,1280065.54412358,212028.186317161
2196,1280580.29868409,237250.804838985
2200,1257079.68323603,241532.17617137695
2209,1270339.0409456,190778.508983403
2212,1267123.13035032,280754.791635543
2215,1262960.13015406,166321.036574349
2218,1262762.82871385,189793.333110392
2221,1275892.11083929,277862.232144579
2223,1262247.51479332,270820.316105366
2232,1266773.71735796,198372.99641518304
2234,1263445.44708255,205717.314758703
2252,1284389.29792,282010.219924822
2257,1271104.2349304,279561.056466311
2258,1271369.03365067,279552.670994312
2259,1287817.43117151,183395.91582384697
2267,1284086.23884769,233494.304483145
2278,1280343.22892386,204947.482949913
2281,1271785.68830709,196546.085373312
2283,1278991.88421847,236130.958629847
2286,1279000.72473048,203530.64525245095
2293,1270960.13483424,260114.816830397
2304,1263053.73495415,260978.846591279
2309,1274707.96299808,239501.094953299
2310,1274875.92754225,239497.629097283
2324,1280857.82860439,281009.7255238
