Fraction of Nodes Removed,Core Proportion
0.006352476607434114,0.9911580393166796
0.006395398746673534,0.9911151171774402
0.006438320885912954,0.9910721950382007
0.0064812430251523735,0.9910292728989613
0.006524165164391793,0.9909863507597219
0.006567087303631213,0.9909434286204825
0.0066100094428706326,0.9908575843420036
0.006652931582110052,0.9908146622027642
0.006695853721349472,0.9907717400635248
0.006738775860588892,0.9907288179242854
0.006781697999828311,0.9906429736458066
0.006824620139067731,0.990600051506567
0.006867542278307151,0.9905571293673276
0.006910464417546571,0.9905142072280883
0.00695338655678599,0.9904712850888489
0.00699630869602541,0.9903425186711305
0.00703923083526483,0.9902995965318911
0.007082152974504249,0.9902566743926517
0.007125075113743669,0.9902137522534123
0.007167997252983089,0.9901708301141728
0.0072109193922225085,0.9901279079749334
0.007253841531461928,0.990084985835694
0.007296763670701348,0.9900420636964546
0.0073396858099407675,0.9899991415572152
0.007382607949180187,0.9899132972787363
0.007425530088419607,0.9898703751394969
0.007468452227659027,0.9898274530002575
0.007511374366898446,0.9897845308610181
0.007554296506137866,0.9897416087217787
0.007597218645377286,0.9896557644432998
0.007640140784616705,0.9896128423040604
0.007683062923856125,0.9894840758863421
0.007725985063095545,0.9894411537471027
0.007768907202334964,0.9893982316078633
0.007811829341574384,0.9893553094686239
0.007854751480813804,0.9893123873293845
0.007897673620053223,0.989269465190145
0.007940595759292643,0.9892265430509056
0.007983517898532062,0.9891836209116662
0.008026440037771483,0.9890977766331874
0.008069362177010903,0.989054854493948
0.008112284316250322,0.9889690102154691
0.008155206455489741,0.9886685552407932
0.00819812859472916,0.9886256331015538
0.008241050733968582,0.9885827109623143
0.008283972873208001,0.9885397888230749
0.00832689501244742,0.9883251781268778
0.00836981715168684,0.9882822559876384
0.00841273929092626,0.988239333848399
0.008455661430165679,0.9881964117091596
0.0084985835694051,0.9881534895699202
0.00854150570864452,0.9881105674306807
0.008584427847883939,0.9879388788737231
0.008627349987123358,0.9878959567344836
0.008670272126362778,0.9878530345952442
0.008713194265602197,0.9878101124560048
0.008756116404841618,0.9877671903167654
0.008799038544081038,0.9875955017598077
0.008841960683320457,0.9875525796205683
0.008884882822559876,0.9875096574813289
0.008927804961799296,0.98742381320285
0.008970727101038715,0.9872950467851318
0.009013649240278136,0.9872521246458924
0.009056571379517556,0.9872092025066529
0.009099493518756975,0.9871233582281741
0.009142415657996394,0.9869945918104558
0.009185337797235814,0.9869516696712164
0.009228259936475233,0.986908747531977
0.009271182075714654,0.9868658253927376
0.009314104214954074,0.9868229032534982
0.009357026354193493,0.9867799811142587
0.009399948493432913,0.9867370589750193
0.009442870632672332,0.9866941368357799
0.009485792771911751,0.9866512146965405
0.009528714911151173,0.9863078375826251
0.009571637050390592,0.9862219933041463
0.009614559189630011,0.9861790711649069
0.00965748132886943,0.9861361490256675
0.00970040346810885,0.9860073826079492
0.00974332560734827,0.9859644604687098
