Node ID,Longitude,Latitude,Degree Centrality
114,1253666.65104054,238556.65130432,4.0
115,1253514.05622438,238559.390120327,3.0
116,1274047.4515094,210438.22855553,1.0
117,1274103.81880547,210438.612683535,4.0
118,1276913.66789635,256953.11122717,4.0
119,1277566.93592902,256933.55941914,3.0
120,1257852.12694882,251724.168245807,4.0
121,1257580.66192454,251728.783733815,4.0
122,1277229.24108067,265328.371011734,1.0
123,1277229.01074466,265451.370819867,2.0
124,1270481.88644975,169648.417697757,4.0
125,1270458.24344173,168628.175008714,3.0
126,1255234.32931414,208599.474313647,4.0
127,1255208.59843412,207940.24071297,4.0
128,1265867.78743704,272818.187787414,3.0
129,1266470.73860565,272804.600203395,4.0
130,1265927.25674909,170723.599266857,4.0
131,1273840.2426132,190321.361590937,3.0
132,1274132.9129495,190311.40856692204,3.0
133,1269098.01617634,275415.660878062,3.0
134,1269429.16446468,275409.54510206,3.0
135,1293365.06900118,187098.91166763,4.0
136,1263899.44983502,239306.09303309,4.0
137,1263578.79197869,239310.656041101,4.0
138,1286124.69273777,250469.927988529,4.0
139,1286452.71635412,250462.30827651903,3.0
140,1252895.25660774,241888.374955744,4.0
141,1252630.71811147,241894.735147744,4.0
142,1281503.52447705,224567.178969994,2.0
143,1281508.38476504,224727.104474157,3.0
144,1255906.26435483,206583.175879583,3.0
145,1255893.83229081,206275.863815263,3.0
146,1274282.36312565,262005.069952339,4.0
147,1274287.39461365,263332.436417699,4.0
148,1271812.62360312,224388.446681812,4.0
149,1272089.89438741,224552.525785983,4.0
150,1277243.86668068,218532.477459818,3.0
151,1277236.76600868,218106.060627386,4.0
152,1253250.87664011,238026.825575784,4.0
153,1253012.02505587,238977.303016752,3.0
154,1249993.20105277,214783.617167979,4.0
155,1249067.76489183,214423.403279617,3.0
156,1266148.59358132,250294.497588351,3.0
157,1266156.64676532,250609.36146067097,3.0
158,1280661.65382019,181065.626861453,4.0
159,1281077.1979486,181074.766573459,4.0
160,1264359.95677949,190435.671095043,4.0
161,1284064.52723166,183615.953456059,3.0
162,1284315.11270392,183605.35467205904,3.0
163,1275724.35563913,273498.561420113,3.0
164,1275724.35755913,273624.971596241,3.0
165,1270425.5919217,277388.989008084,4.0
166,1270431.37732971,278050.473552763,2.0
167,1278738.71116221,175783.79357604697,3.0
168,1278738.70949821,175420.741159678,1.0
169,1280407.09036392,275046.280397683,4.0
