Node ID,Longitude,Latitude
192,1257396.05405235,241201.171243027
193,1276780.9621042,267851.166214317
194,1277212.38085665,267460.401541919
195,1264704.14833184,249662.072947696
196,1264455.25706759,249709.06501174
197,1284829.67468844,196327.831229076
198,1284825.84198445,195963.298812702
199,1272929.66699627,268932.71354343
200,1272807.71218014,269254.396295756
201,1267566.30366278,254242.185528383
202,1267571.34635077,254506.137080655
203,1269108.91083235,273547.760780156
204,1269248.5939685,273545.121996149
205,1263902.16829902,275697.976974353
206,1263905.77981903,275847.116110504
207,1283322.19379091,271013.689417556
208,1283089.70342267,271810.450250372
209,1285276.7859849,187535.758260086
210,1285303.72755294,187534.997108072
211,1252643.02019149,237537.500135288
212,1252334.24195117,237864.672039613
213,1258389.45718938,193259.14085793504
214,1258363.56291735,192603.186105266
215,1272234.48792355,239077.257832855
216,1272900.20837224,240350.108970165
217,1257046.966116,252397.156406492
218,1257058.92675601,253057.077687174
219,1272767.9543561,247459.440881446
220,1273438.45598878,247439.566897422
221,1284244.68831985,199447.878464282
222,1284241.75916785,199241.687296063
223,1262725.32292181,260986.9804793
224,1262584.74640967,260990.464383304
225,1255188.2628181,200903.786945775
226,1255183.5640021,200748.802689612
227,1280020.90937153,269028.75603953
228,1280024.75449152,269440.160391957
229,1261753.95248882,264877.850627273
230,1261288.76541634,264893.885059297
231,1275560.70565496,255996.255546182
232,1275569.99435897,256328.123322517
233,1278684.01669815,228317.968989834
234,1278720.35884219,228743.301854283
235,1256279.28886722,210564.764043659
236,1256257.2134752,209890.90055497
237,1283124.8408307,210839.53613995
238,1283111.4881267,210512.143755615
239,1275486.36498289,225729.493211195
240,1275808.3183912,225721.644507185
241,1268721.36894396,225187.020890638
242,1268504.63582373,225553.576923013
243,1271726.48536304,250747.195124805
244,1271871.00305918,250735.363508791
245,1269274.20971252,278213.279312938
246,1269769.50238502,278202.772432923
247,1272200.78821152,187765.71877232203
248,1272198.48241952,187517.871476054
249,1269589.64907284,256172.180026367
250,1269597.61067285,256834.457595035
251,1268658.77854389,218394.933075681
252,1269023.34968026,218229.76315550497
253,1260984.10000803,249850.284211889
254,1260335.19971937,249864.353715912
255,1277566.23020101,234443.87869212
256,1277708.74668115,234439.286820114
257,1279089.24946657,219611.869652927
258,1279503.01733899,219581.616724893
259,1261276.56496833,237093.940646827
260,1261226.90858428,237094.913702831
261,1263796.44413891,211697.102668822
262,1263551.36618666,211703.440908834
263,1250376.44239716,242364.84382022903
264,1250339.28956513,242610.55626848302
265,1272495.44670781,230027.744479597
266,1272502.11633983,230448.031328022
267,1285134.09536076,248468.49758647397
268,1285043.06464067,248891.980338901
269,1276985.20280841,204502.511045456
270,1276982.64344841,204269.20051722197
271,1277623.74751307,263231.847681597
272,1277624.75800908,263892.966786265
273,1281207.18585274,265771.55027619
274,1281413.78290895,267032.68256548
275,1280402.94597992,283535.14005439
276,1280876.6225244,283430.795798272
277,1280412.64773993,286682.726297602
278,1280774.4137563,286666.51144959
279,1274266.19845363,251901.89394198396
280,1274302.69278967,252115.322358206
281,1270532.2527858,191028.319159657
282,1270620.42289791,190763.84069538102
283,1284895.94387251,286266.618521184
284,1285245.02816087,286494.452057406
285,1266570.15671775,170699.37987484
286,1266413.89521359,170704.723682851
287,1268787.59620802,181604.503086001
288,1268779.37214401,181154.647981539
289,1265328.57719648,282120.576276928
290,1264958.0536761,282131.535956949
291,1279899.67865141,219094.483860403
292,1280150.64466766,219085.027476385
293,1282864.67039844,286924.984345853
294,1282858.69894244,286448.887513369
295,1286694.78873836,184059.089008525
296,1287499.01971518,183045.515247479
297,1264549.93469968,169405.926049516
298,1264521.72810766,168731.543584824
299,1291730.76915951,187872.753652424
300,1291412.60768719,187395.802803934
301,1267292.28491049,172961.222757161
302,1266093.37226926,250037.735284075
303,1266208.31396538,250034.761524081
304,1274176.87346154,250599.453620657
305,1274844.53752622,250577.064244628
306,1254535.07350543,207961.851273
307,1254210.5092171,207972.267593011
308,1266928.21111812,255582.142521754
309,1266931.30103812,255846.406394035
310,1262729.51287381,210410.578955501
311,1262469.79191355,210415.162315503
312,1278595.84197806,221615.352854982
313,1278576.97785005,221130.541142479
314,1269219.51166447,171298.076195449
315,1269491.46948874,170957.9501791
316,1281584.93740512,258811.106877059
317,1282238.40102179,258789.689213037
318,1267564.49860677,189777.556278378
